source,medium,device,users,purchases,purchase_rate_pct,total_revenue,avg_order_value
(direct),(none),desktop,44585,726,1.6,45813.0,63.1
(direct),(none),mobile,30281,499,1.6,32451.0,65.03
(direct),(none),tablet,1711,26,1.5,1386.0,53.31
<Other>,<Other>,desktop,29622,353,1.2,20880.0,59.15
<Other>,<Other>,mobile,20334,239,1.2,14228.0,59.53
<Other>,<Other>,tablet,1175,14,1.2,362.0,25.86
<Other>,organic,desktop,5886,70,1.2,5008.0,71.54
<Other>,organic,mobile,3986,46,1.2,3196.0,69.48
<Other>,organic,tablet,232,2,0.9,28.0,14.0
<Other>,referral,desktop,19165,329,1.7,24298.0,73.85
<Other>,referral,mobile,13157,220,1.7,11902.0,54.1
<Other>,referral,tablet,715,8,1.1,800.0,100.0
google,cpc,desktop,9065,103,1.1,6038.0,58.62
google,cpc,mobile,6111,60,1.0,2846.0,47.43
google,cpc,tablet,362,3,0.8,172.0,57.33
google,organic,desktop,60294,787,1.3,52036.0,66.12
google,organic,mobile,41623,644,1.5,41982.0,65.19
google,organic,tablet,2324,23,1.0,1757.0,76.39