item_name,item_category,quantity_sold,total_revenue,avg_price
Google Zip Hoodie F/C,Apparel,255,13692.0,53.69
Google Men's Tech Fleece Grey,Apparel,123,9965.0,81.02
Google Badge Heavyweight Pullover Black,Apparel,183,9573.0,52.31
Super G Unisex Joggers,Shop by Brand,269,8947.0,33.26
Google Crewneck Sweatshirt Green,Apparel,174,8118.0,46.66
Google Crewneck Sweatshirt Navy,Uncategorized Items,131,6204.0,47.36
Google Men's Puff Jacket Black,Apparel,63,6187.0,98.21
Google Sherpa Zip Hoodie Charcoal,Apparel,102,5956.0,58.39
Google Men's Tech Fleece Vest Charcoal,Apparel,77,5549.0,72.06
Google Women's Puff Jacket Black,Apparel,56,5313.0,94.87
Google Canteen Bottle Black,Drinkware,144,5303.0,36.83
Google Utility BackPack,Bags,52,5256.0,101.08
Android Iconic Crewneck Sweatshirt,Apparel,107,5071.0,47.39
Google Sherpa Zip Hoodie Navy,Apparel,85,4897.0,57.61
Google Black Cloud Zip Hoodie,Apparel,66,4681.0,70.92
Google F/C Longsleeve Charcoal,Apparel,164,4548.0,27.73
Google Crewneck Sweatshirt Navy,Apparel,92,4356.0,47.35
Google Campus Bike,Accessories,111,4352.0,39.21
Google Navy Speckled Tee,Apparel,154,4296.0,27.9
Google Red Speckled Tee,Apparel,155,4152.0,26.79
Google Incognito Techpack V2,Bags,43,4053.0,94.26
Google F/C Longsleeve Ash,Apparel,142,3690.0,25.99
Google Crewneck Sweatshirt Grey,Uncategorized Items,76,3652.0,48.05
Google Cotopaxi Shell,Apparel,92,3650.0,39.67
Google Dino Game Tee,Apparel,99,3552.0,35.88
Google Perk Thermal Tumbler,Lifestyle,113,3236.0,28.64
Google NYC Campus Zip Hoodie,Campus Collection,79,3231.0,40.9
Google Camp Mug Ivory,Drinkware,222,3187.0,14.36
Google Heathered Pom Beanie,New,190,3132.0,16.48
Google Women's Grid Zip-Up,Apparel,58,3132.0,54.0
Google Unisex Eco Tee Black,Uncategorized Items,154,3118.0,20.25
Google Men's Softshell Moss,Apparel,34,2866.0,84.29
Google Raincoat Navy,Apparel,26,2664.0,102.46
Google Crew Socks,Apparel,152,2456.0,16.16
Google Thermal Tumbler Navy,Drinkware,87,2449.0,28.15
Google Speckled Beanie Navy,New,93,2384.0,25.63
Google Glass Bottle,Lifestyle,107,2244.0,20.97
Google Toddler FC Zip Hoodie,Apparel,78,2240.0,28.72
Google Woodtop Bottle Black,New,68,2202.0,32.38
Google Flat Front Bag Grey,Bags,85,2196.0,25.84
Google Women's Microfleece Jacket Black,Uncategorized Items,34,2130.0,62.65
Google Land & Sea Cotton Cap,Apparel,121,2072.0,17.12
Google Leather Strap Hat Blue,Apparel,128,2020.0,15.78
Google Crew Combed Cotton Sock,Apparel,101,1975.0,19.55
Noogler Android Figure,Accessories,104,1932.0,18.58
YouTube Icon Tee Charcoal,Apparel,88,1805.0,20.51
Google Metallic Notebook Set,Office,134,1797.0,13.41
Google KeepCup,New,50,1792.0,35.84
Google Chrome Dinosaur Collectible,Accessories,57,1740.0,30.53
Google Heather Green Speckled Tee,Apparel,75,1718.0,22.91